0 0.9698275862068966			0.969989723	0.971845458	0.970321517	0.969110379
1 0.970769864141622			0.970425139	0.971593248	0.968563797	0.968319276
2 0.9714168208924532			0.971228935	0.970823916	0.968814116	0.967688825
3 0.9685508735868448			0.970260223	0.969572368	0.968563797	0.966879243
4 0.9663520722199426			0.97135202	0.966960804	0.967841682	0.967091732
5 0.9668236739709195			0.971110194	0.967509768	0.968769262	0.967429396
6 0.9651782056534207			0.971134021	0.965920755	0.967722039	0.965778689
7 0.9628107663858639			0.968240874	0.965474723	0.965290614	0.963366948
8 0.9611829944547134			0.966928483	0.964948454	0.965871711	0.962085308
9 0.960394007798071			0.964822053	0.965601966	0.963374486	0.961752005
10 0.959250874665569			0.963910085	0.964329643	0.961838326	0.962147706
11 0.9594566783288743			0.962695796	0.96450554	0.960180624	0.959515002
12 0.9586504834396214			0.960768119	0.964948454	0.959137577	0.957853618
13 0.9577175697865353			0.959179487	0.963852947	0.957705797	0.960247168
14 0.9569142388182191			0.955432327	0.962955341	0.954685257	0.961546371
15 0.9581194826524327			0.955679241	0.962248666	0.952859192	0.959802103
16 0.9580936729663106			0.954207921	0.960245902	0.951851852	0.95810228
17 0.9581108829568789			0.950350227	0.959376282	0.952987066	0.955523673
18 0.9569407422595858			0.948786508	0.956887703	0.9512446	0.956145769
19 0.9565484730477557			0.948247423	0.956298728	0.950246711	0.955199342
20 0.9538934426229508			0.948612539	0.955906481	0.950668037	0.953536184
21 0.9528591924574707			0.949253121	0.954489545	0.948070608	0.953006362
22 0.9519525659374362			0.945140744	0.954015941	0.948502257	0.952556993
23 0.9533401849948613			0.946274187	0.952868852	0.948786508	0.95221493
24 0.9519033974621367			0.944797866	0.951500206	0.947260415	0.951380305
25 0.9506883090199302			0.945163278	0.949629934	0.947346855	0.950738916
26 0.9490589198036007			0.943209877	0.949494949	0.946524064	0.949382716
27 0.948318293683347			0.942580778	0.948654755	0.945106908	0.948017259
28 0.9451857934715664			0.942505133	0.948565574	0.945995893	0.946472518
29 0.9426347060028683			0.941285538	0.947097571	0.943954014	0.94717369
30 0.9432377049180328			0.942121524	0.945663318	0.942728574	0.94585726
31 0.9418390333811182			0.942804428	0.943679342	0.942177568	0.944638097
32 0.9394187474416701			0.941297209	0.944285129	0.940838127	0.943179487
33 0.9384615384615385			0.941273101	0.94292753	0.93974175	0.942169171
34 0.9373592630501535			0.939930056	0.944809192	0.938704387	0.942382612
35 0.9357289527720739			0.939425051	0.945140744	0.936706268	0.943667763
36 0.933058702368692			0.93910718	0.944741167	0.936445907	0.941248973
37 0.931529315293153			0.937281513	0.94413523	0.9363711	0.942651593
38 0.9313463514902364			0.935145151	0.942370796	0.935139573	0.939244663
39 0.9284396145171212			0.934086242	0.940789474	0.935152883	0.938603696
40 0.9292162494870743			0.93500617	0.937962202	0.934251079	0.93613963
41 0.9301704662148285			0.930885972	0.935649671	0.933347006	0.93464454
42 0.9304900553619028			0.931084139	0.932950584	0.931481481	0.934899052
43 0.9289089788370659			0.929274293	0.932158229	0.930137267	0.933579336
44 0.9291144442161495			0.926488706	0.930914309	0.930004093	0.932526661
